Код_товара;Название_позиции;Поисковые_запросы;Описание;Тип_товара;Цена;Валюта;Единица_измерения;Минимальный_объем_заказа;Оптовая_цена;Минимальный_заказ_опт;Ссылка_изображения;Наличие;Количество;Номер_группы;Название_группы;Адрес_подраздела;Возможность_поставки;Срок_поставки;Способ_упаковки;Уникальный_идентификатор;Идентификатор_товара;Идентификатор_подраздела;Идентификатор_группы;Производитель;Страна_производитель;Скидка;ID_группы_разновидностей;Личные_заметки;Продукт_на_сайте;Срок_действия_скидки_от;Срок_действия_скидки_до;Цена_от;Ярлык;HTML_заголовок;HTML_описание;Код_маркировки_(GTIN);Номер_устройства_(MPN);Название_Характеристики;Измерение_Характеристики;Значение_Характеристики;Название_Характеристики;Измерение_Характеристики;Значение_Характеристики;Название_Характеристики;Измерение_Характеристики;Значение_Характеристики
5246;Припой Castolin RB 5246 д.2,0мм Медно-фосфорный припой без серебра для пайки меди.;Припой Castolin RB 5246, Припой Castolin, Медно-фосфорный припой без серебра для пайки меди, Castolin, Запчасти для холодильников castolin, RB 5246, 5246, Медно-фосфорный припой, Припой медно-фосфорный 5%;"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:529px"">
<tbody>
<tr height=""45"">
<td height=""45"" width=""529"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:206px"">
<tbody>
<tr height=""45"">
<td height=""45"" width=""206"">Припой Castolin RB 5246 д.2,0мм</td>
</tr>
</tbody>
</table>

<p>Медно-фосфорный припой без серебра для пайки меди. Температура плавления 715-805гр.С</p>

<h3><span style=""font-size:11px"">Тип упаковки</span></h3>

<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:93px"">
<tbody>
<tr height=""45"">
<td height=""45"" width=""93"">20кг, 1кг, 15 прутков</td>
</tr>
</tbody>
</table>

<p>&nbsp;</p>

<h1>RB 5246</h1>

<p>САМОФЛЮСУЮЩИЙСЯ ПРИПОЙ ДЛЯ ПАЙКИ МЕДИ. 715-805 ⁰С</p>

<p>RB 5246 - медно-фосфорный припой в виде прутков для капиллярной пайки меди и ее сплавов. Разработан для недорогих водонепроницаемых соединений, особенно для применения в массовом производстве. При пайке меди с медью данным припроем флюс не требуется.</p>

<p>&nbsp;</p>

<h3>Применения</h3>

<p>Для капиллярной пайки меди и ее сплавов, включая бронзы и латуни. Не рекомендуется для эксплуатации при температуре ниже 0&deg;C. Важно: не использовать на стали и сплавах никеля.</p>

<h3>Примеры в отраслях</h3>

<ul>
<li>Кондиционирование и охлаждение: воздуховоды, клапаны, теплообменники</li>
<li>Электротехническое оборудование: электрические роторы двигателей, арматуры, трансформаторов</li>
<li>Бытовая техника: стиральные машины, сушильные, плиты, водонагреватели</li>
<li>Сантехника: трубы центрального отопления и газа, канализация, бытовая арматура</li>
<li>Внутренние элементы: мебель, светильники, столовые приборы</li>
</ul>

<h3>Технические Данные</h3>

<p>Солидус</p>

<p>715&deg;C</p>

<p>Ликвидус</p>

<p>805&deg;C</p>

<p>Предел прочности</p>

<p>450 MПа</p>
</td>
</tr>
</tbody>
</table>";u;;;;;;;https://images.satu.kz/219144458_pripoj-castolin-rb.jpg;+;;8980820;Castolin Eutectic сварки, твердой пайки и нанесения покрытий;https://satu.kz/Flyusy-pripoj;;;;115900594;;142703;;Castolin Eutectic;Италия;;;;https://asb-top.kz/p115900594-pripoj-castolin-5246.html;;;-;;;;;;Назначение флюса;;Пайка;Вес упаковки;кг;1.0;Диаметр припоя;мм;2.0
350011;Припой Castolin RB 5286 д.2,0мм, упак.15 прутков;Припой Castolin, Castolin, Запчасти для холодильников castolin, Медно-фосфорный припой, Припой медно-фосфорный 5%, Припой Castolin RB 5286 д.2, Припой Castolin RB 5286, Медно-фосфорный припой для пайки меди и сплавов меди с содержанием серебра, RB 5286;"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:529px"">
<tbody>
<tr height=""67"">
<td height=""67"" width=""529"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:206px"">
<tbody>
<tr height=""67"">
<td height=""67"" width=""206"">Припой Castolin RB 5286 д.2,0мм, упак.15 прутков</td>
</tr>
</tbody>
</table>

<p>Медно-фосфорный припой для пайки меди и сплавов меди с содержанием серебра 5%. Хорошая вибростойкость. Температура плавления 650-810гр.С</p>

<p>Тип упаковки</p>

<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:93px"">
<tbody>
<tr height=""67"">
<td height=""67"" width=""93"">20кг, 1кг, 15 прутков</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>

<h1>&nbsp;</h1>

<h1><img alt="""" src=""https://images.satu.kz/219144604_w640_h2048_medno_fosfornyj_pripoj.png?fresh=1&amp;PIMAGE_ID=219144604"" style=""width: 640px; height: 541px;"" /></h1>

<p>САМОФЛЮСУЮЩИЙСЯ ПРИПОЙ ДЛЯ КАПИЛЛЯРНОЙ ПАЙКИ МЕДИ И МЕДНЫХ СПЛАВОВ. ХОЛОДИЛЬНИКИ, ТЕПЛООБМЕННИКИ, ГАЗОВЫЕ СТАНЦИИ</p>

<p>RB 5286 - это припой Cu-P-Ag с содержанием 5% серебра, разработан для соединения меди и ее сплавов. Содержание серебра обеспечивает повышение текучести и лучшее проникновение припоя в паяное соединение. Обеспечивается водная/газовая герметичность соединений.</p>

<p>&nbsp;</p>

<h3>Применения</h3>

<p>Для пайки меди и ее сплавов. Капиллярные соединения плотно посаженных фитингов и пайка-сварка более свободных соединений.</p>

<h3>Примеры в отраслях</h3>

<ul>
<li>Кондиционирование и охлаждение: каналы, клапаны, теплообменники</li>
<li>Сантехника и отопление: газ, вода и трубы отопления, канализация, бытовая арматура</li>
<li>Электрооборудование: соединения, роторы для электродвигателей и генераторов</li>
</ul>

<h3>Технические Данные</h3>

<p>Доля серебра</p>

<p>5%</p>

<p>Солидус</p>

<p>650&deg;C</p>

<p>Ликвидус</p>

<p>810&deg;C</p>

<p>Предел прочности</p>

<p>650 MПа</p>";u;;;;;;;https://images.satu.kz/219144554_pripoj-castolin-rb.jpg;+;;8980820;Castolin Eutectic сварки, твердой пайки и нанесения покрытий;https://satu.kz/Flyusy-pripoj;;;;115900610;;142703;;Castolin Eutectic;Швейцария;;;;https://asb-top.kz/p115900610-pripoj-castolin-5286.html;;;-;Новинка;;;;;Назначение флюса;;Пайка;Вес упаковки;кг;1;Диаметр припоя;мм;2

Ссылка_изображения
Номер_группы
Идентификатор_подраздела
